gene	gene_name	gate_type_GM12878	gate_type_K562	functional_category	cosmic_census_flag
PTPN18	PTPN18	SIMPLE_OR	SIMPLE_AND	unknown	no
ASIC4	ASIC4	REPRESSED	INCONSISTENT	unknown	no
ALDH3A2	ALDH3A2	SIMPLE_AND	INCONSISTENT	metabolic	no
UBE2D1	UBE2D1	SIMPLE_AND	INCONSISTENT	unknown	no
PALS1	PALS1	SIMPLE_AND	INCONSISTENT	unknown	no
RHOBTB1	RHOBTB1	REPRESSED	INCONSISTENT	unknown	no
CHFR	CHFR	SIMPLE_AND	SIMPLE_OR	unknown	no
P4HA2	P4HA2	BIVALENT	SIMPLE_AND	unknown	no
ACADVL	ACADVL	SIMPLE_OR	SIMPLE_AND	metabolic	no
STK10	STK10	SIMPLE_AND	INCONSISTENT	kinase/signaling	no
ACAP1	ACAP1	SIMPLE_AND	INCONSISTENT	unknown	no
EVC	EVC	SIMPLE_AND	INCONSISTENT	unknown	no
DERL2	DERL2	SIMPLE_AND	INCONSISTENT	unknown	no
TMEM38A	TMEM38A	SIMPLE_AND	INCONSISTENT	unknown	no
XRCC1	XRCC1	SIMPLE_AND	SIMPLE_OR	unknown	no
PANX2	PANX2	BIVALENT	INCONSISTENT	unknown	no
SELENOO	SELENOO	SIMPLE_AND	INCONSISTENT	unknown	no
ALPK1	ALPK1	SIMPLE_AND	INCONSISTENT	unknown	no
LLGL2	LLGL2	BIVALENT	SIMPLE_AND	unknown	no
ADAM11	ADAM11	REPRESSED	INCONSISTENT	unknown	no
PPP2R3A	PPP2R3A	BIVALENT	INCONSISTENT	unknown	no
FERMT2	FERMT2	BIVALENT	INCONSISTENT	unknown	no
IGF2BP2	IGF2BP2	BIVALENT	INCONSISTENT	unknown	yes
TBX21	TBX21	SIMPLE_AND	REPRESSED	transcription factor	no
FRY	FRY	BIVALENT	INCONSISTENT	unknown	no
TEAD2	TEAD2	REPRESSED	SIMPLE_AND	transcription factor	no
SNCB	SNCB	REPRESSED	BIVALENT	unknown	no
NCBP3	NCBP3	SIMPLE_AND	INCONSISTENT	unknown	no
