gene_id	gene_name	gate_type_GM12878	gate_type_K562	switch_direction	GM12878_expression	K562_expression	replicate_check
ENSG00000170345	FOS	BIVALENT	INCONSISTENT	BIV→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000170348	TMED10	COMPLEX	SIMPLE_AND	CPX→AND			NOT_EVALUATED_consensus_calls_only
ENSG00000170364	SETMAR	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000170365	SMAD1	INCONSISTENT	BIVALENT	INC→BIV			NOT_EVALUATED_consensus_calls_only
ENSG00000170370	EMX2	REPRESSED	INCONSISTENT	REP→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000170390	DCLK2	REPRESSED	INCONSISTENT	REP→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000170396	ZNF804A	BIVALENT	INCONSISTENT	BIV→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000170409		INCONSISTENT	REPRESSED	INC→REP			NOT_EVALUATED_consensus_calls_only
ENSG00000170417	TMEM182	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000170421	KRT8	INCONSISTENT	SIMPLE_AND	INC→AND			NOT_EVALUATED_consensus_calls_only
ENSG00000170425	ADORA2B	BIVALENT	SIMPLE_AND	BIV→AND			NOT_EVALUATED_consensus_calls_only
ENSG00000170442	KRT86	INCONSISTENT	REPRESSED	INC→REP			NOT_EVALUATED_consensus_calls_only
ENSG00000170456	DENND5B	SIMPLE_AND	BIVALENT	AND→BIV			NOT_EVALUATED_consensus_calls_only
ENSG00000170469	SPATA24	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000170482	SLC23A1	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000170500	LONRF2	REPRESSED	INCONSISTENT	REP→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000170525	PFKFB3	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000170537	TMC7	REPRESSED	INCONSISTENT	REP→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000170542	SERPINB9	BIVALENT	SIMPLE_AND	BIV→AND			NOT_EVALUATED_consensus_calls_only
ENSG00000170545	SMAGP	BIVALENT	SIMPLE_AND	BIV→AND			NOT_EVALUATED_consensus_calls_only
ENSG00000170608	FOXA3	BIVALENT	INCONSISTENT	BIV→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000170615	SLC26A5	REPRESSED	BIVALENT	REP→BIV			NOT_EVALUATED_consensus_calls_only
ENSG00000170619	COMMD5	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000170627	GTSF1	INCONSISTENT	SIMPLE_AND	INC→AND			NOT_EVALUATED_consensus_calls_only
ENSG00000170631	ZNF16	SIMPLE_AND	COMPLEX	AND→CPX			NOT_EVALUATED_consensus_calls_only
ENSG00000170634	ACYP2	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000170677	SOCS6	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000170684	ZNF296	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000170689	HOXB9	BIVALENT	SIMPLE_AND	BIV→AND			NOT_EVALUATED_consensus_calls_only
ENSG00000170703	TTLL6	BIVALENT	INCONSISTENT	BIV→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000170776	AKAP13	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000170791	CHCHD7	SIMPLE_AND	BIVALENT	AND→BIV			NOT_EVALUATED_consensus_calls_only
ENSG00000170836	PPM1D	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000170860	LSM3	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000170881	RNF139	COMPLEX	SIMPLE_AND	CPX→AND			NOT_EVALUATED_consensus_calls_only
ENSG00000170890	PLA2G1B	INCONSISTENT	BIVALENT	INC→BIV			NOT_EVALUATED_consensus_calls_only
ENSG00000170903	MSANTD4	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000170915	PAQR8	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000170917	NUDT6	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000170919	TPT1-AS1	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000170921	TANC2	BIVALENT	SIMPLE_AND	BIV→AND			NOT_EVALUATED_consensus_calls_only
ENSG00000170948	MBD3L1	COMPLEX	INCONSISTENT	CPX→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000170989	S1PR1	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000171016	PYGO1	REPRESSED	BIVALENT	REP→BIV			NOT_EVALUATED_consensus_calls_only
ENSG00000171033	PKIA	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000171045	TSNARE1	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000171084	FAM86JP	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000171097	KYAT1	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000171100	MTM1	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000171103	TRMT61B	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000171105	INSR	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000171115	GIMAP8	SIMPLE_AND	REPRESSED	AND→REP			NOT_EVALUATED_consensus_calls_only
ENSG00000171126	KCNG3	BIVALENT	INCONSISTENT	BIV→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000171132	PRKCE	SIMPLE_AND	BIVALENT	AND→BIV			NOT_EVALUATED_consensus_calls_only
ENSG00000171150	SOCS5	COMPLEX	INCONSISTENT	CPX→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000171155	C1GALT1C1	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000171160	MORN4	SIMPLE_OR	INCONSISTENT	OR→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000171202	TMEM126A	COMPLEX	INCONSISTENT	CPX→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000171246	NPTX1	REPRESSED	INCONSISTENT	REP→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000171262	FAM98B	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000171298	GAA	SIMPLE_OR	INCONSISTENT	OR→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000171345	KRT19	REPRESSED	SIMPLE_AND	REP→AND			NOT_EVALUATED_consensus_calls_only
ENSG00000171365	CLCN5	SIMPLE_OR	INCONSISTENT	OR→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000171385	KCND3	REPRESSED	BIVALENT	REP→BIV			NOT_EVALUATED_consensus_calls_only
ENSG00000171388	APLN	INCONSISTENT	BIVALENT	INC→BIV			NOT_EVALUATED_consensus_calls_only
ENSG00000171435	KSR2	SIMPLE_OR	BIVALENT	OR→BIV			NOT_EVALUATED_consensus_calls_only
ENSG00000171443	ZNF524	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000171448	ZBTB26	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000171450	CDK5R2	BIVALENT	INCONSISTENT	BIV→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000171453	POLR1C	BIVALENT	SIMPLE_AND	BIV→AND			NOT_EVALUATED_consensus_calls_only
ENSG00000171462	DLK2	BIVALENT	INCONSISTENT	BIV→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000171475	WIPF2	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000171488	LRRC8C	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000171502	COL24A1	REPRESSED	INCONSISTENT	REP→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000171522	PTGER4	BIVALENT	INCONSISTENT	BIV→INC			NOT_EVALUATED_consensus_calls_only
