gene_id	gate_type	complexity_score	gene_id_clean	gene_name
ENSG00000006042	REPRESSED	1.0	ENSG00000006042	TMEM98
ENSG00000006047	BIVALENT	4.0	ENSG00000006047	YBX2
ENSG00000006059	NULL	-1.0	ENSG00000006059	KRT33A
ENSG00000006062	SIMPLE_AND	1.0	ENSG00000006062	MAP3K14
ENSG00000006071	REPRESSED	1.0	ENSG00000006071	ABCC8
ENSG00000006116	REPRESSED	1.0	ENSG00000006116	CACNG3
ENSG00000006118	SIMPLE_OR	0.0	ENSG00000006118	TMEM132A
ENSG00000006125	SIMPLE_AND	1.0	ENSG00000006125	AP2B1
ENSG00000006128	REPRESSED	1.0	ENSG00000006128	TAC1
ENSG00000006194	COMPLEX	4.0	ENSG00000006194	ZNF263
ENSG00000006210	SIMPLE_OR	0.0	ENSG00000006210	CX3CL1
ENSG00000006282	SIMPLE_OR	0.0	ENSG00000006282	SPATA20
ENSG00000006283	BIVALENT	4.0	ENSG00000006283	CACNA1G
ENSG00000006327	INCONSISTENT	1.0	ENSG00000006327	TNFRSF12A
ENSG00000006377	REPRESSED	1.0	ENSG00000006377	DLX6
ENSG00000006432	SIMPLE_AND	1.0	ENSG00000006432	MAP3K9
ENSG00000006451	SIMPLE_AND	1.0	ENSG00000006451	RALA
ENSG00000006453	SIMPLE_AND	1.0	ENSG00000006453	BAIAP2L1
ENSG00000006459	BIVALENT	4.0	ENSG00000006459	KDM7A
ENSG00000006468	BIVALENT	4.0	ENSG00000006468	ETV1
ENSG00000006530	SIMPLE_AND	1.0	ENSG00000006530	AGK
ENSG00000006534	NULL	-1.0	ENSG00000006534	ALDH3B1
ENSG00000006555	SIMPLE_AND	1.0	ENSG00000006555	TTC22
ENSG00000006576	SIMPLE_AND	1.0	ENSG00000006576	PHTF2
ENSG00000006606	NULL	-1.0	ENSG00000006606	CCL26
ENSG00000006607	SIMPLE_AND	1.0	ENSG00000006607	FARP2
ENSG00000006611	REPRESSED	1.0	ENSG00000006611	USH1C
ENSG00000006625	SIMPLE_AND	1.0	ENSG00000006625	GGCT
ENSG00000006634	SIMPLE_AND	1.0	ENSG00000006634	DBF4
ENSG00000006638	INCONSISTENT	1.0	ENSG00000006638	TBXA2R
ENSG00000006652	NULL	-1.0	ENSG00000006652	IFRD1
ENSG00000006659	INCONSISTENT	1.0	ENSG00000006659	LGALS14
ENSG00000006695	SIMPLE_AND	1.0	ENSG00000006695	COX10
ENSG00000006704	SIMPLE_OR	0.0	ENSG00000006704	GTF2IRD1
ENSG00000006712	SIMPLE_AND	1.0	ENSG00000006712	PAF1
ENSG00000006715	NULL	-1.0	ENSG00000006715	VPS41
ENSG00000006740	INCONSISTENT	2.0	ENSG00000006740	ARHGAP44
ENSG00000006744	SIMPLE_AND	1.0	ENSG00000006744	ELAC2
ENSG00000006747	REPRESSED	1.0	ENSG00000006747	SCIN
ENSG00000006756	NULL	-1.0	ENSG00000006756	ARSD
ENSG00000006757	SIMPLE_AND	1.0	ENSG00000006757	PNPLA4
ENSG00000006788	NULL	-1.0	ENSG00000006788	MYH13
ENSG00000006831	SIMPLE_AND	1.0	ENSG00000006831	ADIPOR2
ENSG00000006837	SIMPLE_AND	1.0	ENSG00000006837	CDKL3
ENSG00000007001	INCONSISTENT	1.0	ENSG00000007001	UPP2
ENSG00000007038	INCONSISTENT	1.0	ENSG00000007038	PRSS21
ENSG00000007047	SIMPLE_AND	1.0	ENSG00000007047	MARK4
ENSG00000007062	REPRESSED	1.0	ENSG00000007062	PROM1
ENSG00000007080	SIMPLE_AND	1.0	ENSG00000007080	CCDC124
ENSG00000007129	SIMPLE_AND	1.0	ENSG00000007129	CEACAM21
ENSG00000007168	SIMPLE_AND	1.0	ENSG00000007168	PAFAH1B1
ENSG00000007171	NULL	-1.0	ENSG00000007171	NOS2
ENSG00000007174	NULL	-1.0	ENSG00000007174	DNAH9
ENSG00000007202	SIMPLE_AND	1.0	ENSG00000007202	BLTP2
ENSG00000007216	NULL	-1.0	ENSG00000007216	SLC13A2
ENSG00000007237	INCONSISTENT	1.0	ENSG00000007237	GAS7
ENSG00000007255	SIMPLE_AND	1.0	ENSG00000007255	TRAPPC6A
ENSG00000007264	REPRESSED	1.0	ENSG00000007264	MATK
ENSG00000007306	REPRESSED	1.0	ENSG00000007306	CEACAM7
ENSG00000007312	SIMPLE_AND	1.0	ENSG00000007312	CD79B
ENSG00000007314	NULL	-1.0	ENSG00000007314	SCN4A
ENSG00000007341	SIMPLE_AND	1.0	ENSG00000007341	ST7L
ENSG00000007350	NULL	-1.0	ENSG00000007350	TKTL1
ENSG00000007372	REPRESSED	1.0	ENSG00000007372	PAX6
ENSG00000007376	SIMPLE_AND	1.0	ENSG00000007376	RPUSD1
ENSG00000007384	INCONSISTENT	2.0	ENSG00000007384	RHBDF1
ENSG00000007392	SIMPLE_AND	1.0	ENSG00000007392	LUC7L
ENSG00000007402	REPRESSED	1.0	ENSG00000007402	CACNA2D2
ENSG00000007516	BIVALENT	4.0	ENSG00000007516	BAIAP3
ENSG00000007520	SIMPLE_AND	1.0	ENSG00000007520	TSR3
