gene_id,gene_name,gm12878_detected,k562_detected,detected_in_both,in_current_background
ENSG00000039139,DNAH5,True,True,True,True
ENSG00000039319,ZFYVE16,True,True,True,True
ENSG00000039523,RIPOR1,True,False,False,True
ENSG00000039537,C6,False,False,False,True
ENSG00000039560,RAI14,True,True,True,True
ENSG00000039600,SOX30,True,False,False,True
ENSG00000039650,PNKP,True,True,True,True
ENSG00000039987,BEST2,False,True,False,True
ENSG00000040199,PHLPP2,True,True,True,True
ENSG00000040275,SPDL1,True,True,True,True
ENSG00000040341,STAU2,True,True,True,True
ENSG00000040487,SLC66A1,True,True,True,True
ENSG00000040531,CTNS,True,True,True,True
ENSG00000040608,RTN4R,False,False,False,True
ENSG00000040633,PHF23,True,True,True,True
ENSG00000040731,CDH10,False,False,False,True
ENSG00000040933,INPP4A,True,True,True,True
ENSG00000041353,RAB27B,False,False,False,True
ENSG00000041357,PSMA4,True,True,True,True
ENSG00000041515,MYO16,False,False,False,True
ENSG00000041802,LSG1,True,True,True,True
ENSG00000041880,PARP3,True,True,True,True
ENSG00000041982,TNC,True,False,False,True
ENSG00000041988,THAP3,True,True,True,True
ENSG00000042062,RIPOR3,False,True,False,True
ENSG00000042088,TDP1,True,True,True,True
ENSG00000042286,AIFM2,True,True,True,True
ENSG00000042304,SLC19A4P,True,False,False,True
ENSG00000042317,SPATA7,True,True,True,True
ENSG00000042429,MED17,True,True,True,True
ENSG00000042445,RETSAT,True,True,True,True
ENSG00000042493,CAPG,True,True,True,True
ENSG00000042753,AP2S1,True,True,True,True
ENSG00000042781,USH2A,False,False,False,True
ENSG00000042813,ZPBP,False,False,False,True
ENSG00000042832,TG,True,True,True,True
ENSG00000042980,ADAM28,False,False,False,True
ENSG00000043039,BARX2,True,False,False,True
ENSG00000043093,DCUN1D1,False,False,False,True
ENSG00000043143,JADE2,True,True,True,True
ENSG00000043355,ZIC2,True,True,True,True
ENSG00000043462,LCP2,True,True,True,True
ENSG00000043514,TRIT1,True,True,True,True
ENSG00000043591,ADRB1,True,True,True,True
ENSG00000044012,GUCA2B,False,True,False,True
ENSG00000044090,CUL7,True,True,True,True
ENSG00000044115,CTNNA1,False,True,False,True
